character,count,unicode_name,unicode_category
 ,14985,SPACE,Zs
a,9119,LATIN SMALL LETTER A,Ll
n,7290,LATIN SMALL LETTER N,Ll
ɛ,4915,LATIN SMALL LETTER OPEN E,Ll
o,4701,LATIN SMALL LETTER O,Ll
e,4486,LATIN SMALL LETTER E,Ll
m,3474,LATIN SMALL LETTER M,Ll
s,3313,LATIN SMALL LETTER S,Ll
y,3146,LATIN SMALL LETTER Y,Ll
i,3135,LATIN SMALL LETTER I,Ll
ɔ,2397,LATIN SMALL LETTER OPEN O,Ll
w,2233,LATIN SMALL LETTER W,Ll
k,2113,LATIN SMALL LETTER K,Ll
u,2111,LATIN SMALL LETTER U,Ll
b,1869,LATIN SMALL LETTER B,Ll
d,1531,LATIN SMALL LETTER D,Ll
r,1442,LATIN SMALL LETTER R,Ll
h,1411,LATIN SMALL LETTER H,Ll
t,1249,LATIN SMALL LETTER T,Ll
f,939,LATIN SMALL LETTER F,Ll
p,625,LATIN SMALL LETTER P,Ll
g,211,LATIN SMALL LETTER G,Ll
l,192,LATIN SMALL LETTER L,Ll
',36,APOSTROPHE,Po
c,33,LATIN SMALL LETTER C,Ll
v,23,LATIN SMALL LETTER V,Ll
j,19,LATIN SMALL LETTER J,Ll
ã,12,LATIN SMALL LETTER A WITH TILDE,Ll
z,5,LATIN SMALL LETTER Z,Ll
q,2,LATIN SMALL LETTER Q,Ll
x,2,LATIN SMALL LETTER X,Ll
