utt_id,clip_id,system
dev_0000,clip_0001,tone
dev_0000,clip_0002,baseline
dev_0001,clip_0003,tone
dev_0001,clip_0004,baseline
dev_0002,clip_0005,baseline
dev_0002,clip_0006,tone
dev_0003,clip_0007,tone
dev_0003,clip_0008,baseline
dev_0004,clip_0009,tone
dev_0004,clip_0010,baseline
dev_0005,clip_0011,tone
dev_0005,clip_0012,baseline
dev_0006,clip_0013,tone
dev_0006,clip_0014,baseline
dev_0007,clip_0015,tone
dev_0007,clip_0016,baseline
dev_0008,clip_0017,baseline
dev_0008,clip_0018,tone
dev_0009,clip_0019,tone
dev_0009,clip_0020,baseline
dev_0010,clip_0021,tone
dev_0010,clip_0022,baseline
dev_0011,clip_0023,tone
dev_0011,clip_0024,baseline
dev_0012,clip_0025,tone
dev_0012,clip_0026,baseline
dev_0013,clip_0027,tone
dev_0013,clip_0028,baseline
dev_0014,clip_0029,tone
dev_0014,clip_0030,baseline
dev_0015,clip_0031,tone
dev_0015,clip_0032,baseline
dev_0016,clip_0033,baseline
dev_0016,clip_0034,tone
dev_0017,clip_0035,tone
dev_0017,clip_0036,baseline
dev_0018,clip_0037,baseline
dev_0018,clip_0038,tone
dev_0019,clip_0039,baseline
dev_0019,clip_0040,tone
