metric,value
dataset_id,ghananlpcommunity/asante-twi-bible-speech-phonemes
split,train
streaming,True
row_limit,1000
audio_column,audio
decode_audio,False
rows_scanned,1000
empty_text_rows,0
empty_phoneme_rows,0
missing_duration_rows,1000
unique_phoneme_tokens,35
unique_speakers,10
text_tokens_min,1
text_tokens_p05,4
text_tokens_median,15
text_tokens_mean,17.992
text_tokens_p95,42
text_tokens_max,171
phoneme_tokens_min,7
phoneme_tokens_p05,15.95
phoneme_tokens_median,55
phoneme_tokens_mean,67.634
phoneme_tokens_p95,162
phoneme_tokens_max,708
