phoneme,count,share
a,11410,0.16870213
n,6731,0.09952095
e̘,5689,0.08411450
o̘,5488,0.08114262
e,3939,0.05823994
i̘,3539,0.05232575
m,3509,0.05188219
o,3474,0.05136470
s,3014,0.04456339
u̘,2339,0.03458320
w,2313,0.03419878
r,2079,0.03073898
d,2014,0.02977792
b,1573,0.02325753
f,1290,0.01907325
j,1068,0.01579087
h,1049,0.01550995
n̩,1040,0.01537688
k,973,0.01438626
t,941,0.01391312
m̩,776,0.01147352
nʲ,523,0.00773280
p,514,0.00759973
ŋk,500,0.00739273
nt,364,0.00538191
l,253,0.00374072
kʲ,246,0.00363722
hʲ,210,0.00310495
hʷ,186,0.00275010
gʲ,180,0.00266138
mp,138,0.00204039
g,104,0.00153769
nʷ,93,0.00137505
kʷ,64,0.00094627
nd,11,0.00016264
